Type,Item Name,Description,Contact,Email,Image
Lost,wallet,brown wallet,Mallika,mallikamathur2020@gmail.com,images/OPAC.jpg
Found,wallet,brown,Akash,mallikamathur2004@gmail.com,images/OPAC.jpg
Found,wallet,brown,Akash,mallikamathur2004@gmail.com,images/OPAC.jpg
Found,wallet,brown,Akash,mallikamathur2004@gmail.com,images/OPAC.jpg
Found,wallet,brown,Akash,mallikamathur2004@gmail.com,images/OPAC.jpg
Lost,wallet,brown wallet,Mallika,mallikamathur2020@gmail.com,images/OPAC.jpg
Lost,earpods,boat pink earpods,Mallika,mallikamathur2004@gmail.com,images/earpods.jpg
Found,earpods,pink earpods fpund near foodys,Akash,mallikamathur2020@gmail.com,images/earpods.jpg
Lost,paper,flowchart,Mallika,mallikamathur2004@gmail.com,images/Flowchart showing th.png
Lost,paper,flow,Mallika,mallikamathur2020@gmail.com,images/Flowchart showing th.png
Found,paper,flow,Mallika,mallikamathur2020@gmail.com,images/Flowchart showing th.png
